country_name;regions
Albania;1
Austria;1
Belgium;1
Bosnia and Herzegovina;1
Bulgaria;1
Croatia;1
Cyprus;1
Czech Republic;1
Denmark;1
Estonia;1
Finland;1
France;1
German Democratic Republic;1
Germany;1
Greece;1
Hungary;1
Iceland;1
Ireland;1
Italy;1
Kosovo;1
Latvia;1
Lithuania;1
Luxembourg;1
Macedonia;1
Malta ;1
Montenegro;1
Netherlands;1
Norway;1
Poland;1
Portugal;1
Romania;1
Serbia;1
Slovakia;1
Slovenia;1
Spain;1
Sweden;1
Switzerland;1
United Kingdom;1
Australia;2
Canada;2
New Zealand;2
United States of America;2
Argentina;3
Bolivia;3
Brazil;3
Chile;3
Colombia;3
Costa Rica;3
Cuba;3
Dominican Republic;3
Ecuador;3
El Salvador;3
Guatemala;3
Guyana;3
Haiti;3
Honduras;3
Mexico;3
Nicaragua;3
Panama;3
Paraguay;3
Peru;3
Suriname;3
Uruguay;3
Venezuela;3
Armenia;4
Azerbaijan;4
Belarus;4
Georgia;4
Kazakhstan;4
Kyrgyzstan;4
Moldova;4
Russia;4
Tajikistan;4
Turkmenistan;4
Ukraine;4
Uzbekistan;4
Algeria;5
Bahrain;5
Egypt;5
Iraq;5
Israel;5
Jordan;5
Kuwait;5
Lebanon;5
Libya;5
Morocco;5
Oman;5
Palestine/British Mandate;5
Palestine/Gaza;5
Palestine/West Bank;5
Qatar;5
Saudi Arabia;5
South Yemen;5
Sudan;5
Syria;5
Tunisia;5
Turkey;5
United Arab Emirates;5
Yemen;5
Angola;6
Benin;6
Botswana;6
Burkina Faso;6
Burundi;6
Cameroon;6
Cape Verde;6
Central African Republic;6
Chad;6
Comoros;6
Democratic Republic of Congo;6
Djibouti;6
Equatorial Guinea;6
Eritrea;6
Ethiopia;6
Gabon;6
Ghana;6
Guinea;6
Guinea-Bissau;6
Ivory Coast;6
Kenya;6
Lesotho;6
Liberia;6
Madagascar;6
Malawi;6
Mali;6
Mauritania;6
Mauritius;6
Mozambique;6
Namibia;6
Niger;6
Nigeria;6
Republic of the Congo;6
Rwanda;6
Sao Tome and Principe;6
Senegal;6
Seychelles;6
Sierra Leone;6
Somalia;6
Somaliland;6
South Africa;6
South Sudan;6
Swaziland;6
Tanzania;6
The Gambia;6
Togo;6
Uganda;6
Zambia;6
Zanzibar;6
Zimbabwe;6
Afghanistan;7
Bangladesh;7
Bhutan;7
India;7
Iran;7
Maldives;7
Nepal;7
Pakistan;7
Sri Lanka;7
Burma/Myanmar;8
Cambodia;8
Democratic Republic of Vietnam;8
Indonesia;8
Laos;8
Malaysia;8
Philippines;8
Republic of Vietnam;8
Singapore;8
Thailand;8
Timor-Leste;8
China;9
Hong Kong;9
Japan;9
Mongolia;9
North Korea;9
South Korea;9
Taiwan;9
Barbados;10
Fiji;10
Jamaica;10
Papua New Guinea;10
Solomon Islands;10
Trinidad and Tobago;10
Vanuatu;10
